fold,organelle,R2_cv,R2_test
1,mitochondrion,0.9782159429061341,0.937219611243412
1,nucleus,0.8897119046195124,0.9324357464040316
1,endoplasmic reticulum,0.7444824509713761,0.8373242216813225
1,fungal-type vacuole,0.8156910729432678,0.8060458206571827
1,plasma membrane,0.09732686886243336,0.7232106742130179
1,ribosome,0.9786195231578121,0.9477927143068301
1,cytosol,0.9645946657092641,0.8628255780701348
2,mitochondrion,0.9833839919177153,0.8601111044899945
2,nucleus,0.8672773912801773,0.9046062402201371
2,endoplasmic reticulum,0.4340700337262011,0.660550207238741
2,fungal-type vacuole,0.8299427931641368,0.738071827103794
2,plasma membrane,0.5398732469119716,0.5902344136848916
2,ribosome,0.9092188540698823,0.922653387789839
2,cytosol,0.9590623365698845,0.8562307623910764
3,mitochondrion,0.9693317861963461,0.9197833495434227
3,nucleus,0.9019342171202771,0.8248520345075179
3,endoplasmic reticulum,0.5521939993260095,0.6770449406147618
3,fungal-type vacuole,0.8027849847680516,0.7643356209834231
3,plasma membrane,0.5285266884548532,0.6565614255737973
3,ribosome,0.923722742493344,0.9547449723812311
3,cytosol,0.9169255569411336,0.8928138179258898
4,mitochondrion,0.954473269424288,0.8517198281851449
4,nucleus,0.8800144025798217,0.8381567912735933
4,endoplasmic reticulum,0.6641672389675888,0.7296749218347955
4,fungal-type vacuole,0.6011574039560941,0.4120392104937616
4,plasma membrane,0.53437814497115,0.6726255549627518
4,ribosome,0.8089114310504053,0.9277178556482143
4,cytosol,0.9204896255487165,0.8342557952291186
5,mitochondrion,0.9411890995523732,0.9015058854550372
5,nucleus,0.941160470366462,0.9087731387805869
5,endoplasmic reticulum,0.7439702061184666,0.47897934354688165
5,fungal-type vacuole,0.742826563874276,0.6990604772900417
5,plasma membrane,0.5984741170298866,0.5387908197499685
5,ribosome,0.9726692060711786,0.9415451978768606
5,cytosol,0.9572778352393224,0.8476584682582159
6,mitochondrion,0.9686161947622601,0.9145678104675463
6,nucleus,0.9488228673668124,0.8819839784341984
6,endoplasmic reticulum,0.6599756575702644,0.7354997131702192
6,fungal-type vacuole,0.8574193965548677,0.48595393117815167
6,plasma membrane,0.2991131494653103,0.3279514435777273
6,ribosome,0.9559220086649431,0.9516924656312884
6,cytosol,0.9558811770043124,0.8904133802803158
7,mitochondrion,0.9213518028600135,0.9451663595871195
7,nucleus,0.8287167374449016,0.8476408188214454
7,endoplasmic reticulum,0.7472892890274541,0.6157642554912698
7,fungal-type vacuole,0.8987619214280572,0.7935110319778579
7,plasma membrane,0.5855449401328888,0.6398324326688477
7,ribosome,0.9617171842576386,0.9059165082075415
7,cytosol,0.9627532089925942,0.840424126056909
8,mitochondrion,0.9874220537527881,0.891875123125498
8,nucleus,0.9299340726536147,0.8685611925707578
8,endoplasmic reticulum,0.7633891619297801,0.7024000877506722
8,fungal-type vacuole,0.8821388162621556,0.6884047492807249
8,plasma membrane,0.49521410084436757,0.6261070112225642
8,ribosome,0.9670349205566566,0.9413305611437688
8,cytosol,0.8979349126605409,0.7970544013129897
9,mitochondrion,0.9620172645401394,0.8797620077569762
9,nucleus,0.9534185176040267,0.9291186019702372
9,endoplasmic reticulum,0.8641897601349751,0.7324025965603386
9,fungal-type vacuole,0.7727902501274865,0.4779484278606617
9,plasma membrane,0.6465345945149124,0.858398808334019
9,ribosome,0.9806345802464894,0.922169287390232
9,cytosol,0.966586682531278,0.78038084026511
10,mitochondrion,0.9638007924166008,0.9466986641236453
10,nucleus,-0.9858811550649313,0.9127581025909893
10,endoplasmic reticulum,0.7844517811516395,0.8650970181926163
10,fungal-type vacuole,0.5674442123193557,0.7244091048439378
10,plasma membrane,0.4283015140606402,0.8183695703622511
10,ribosome,0.9606881056319919,0.9481115031731238
10,cytosol,0.8413967287902946,0.8610820512805112
