fold,R2_cv,R2_test,pool,n_proteins
1,0.6716129139783387,0.5227612149311155,fixed_freq_ge_6,11
2,0.7078093173023056,0.5137801746842577,fixed_freq_ge_6,11
3,0.47938949164181477,0.5137851262084421,fixed_freq_ge_6,11
4,0.6501450164053149,0.5176135678166869,fixed_freq_ge_6,11
5,0.6689350693924815,0.51502552346298,fixed_freq_ge_6,11
6,0.5420207390805203,0.4864953535784849,fixed_freq_ge_6,11
7,0.7344079361539224,0.5206968816275771,fixed_freq_ge_6,11
8,0.7197732624467289,0.5212615837430503,fixed_freq_ge_6,11
9,0.7357474396809718,0.5184614475118776,fixed_freq_ge_6,11
10,0.4703149808630297,0.6107111951036076,fixed_freq_ge_6,11
1,0.7486424196322422,0.7701121616101496,fixed_top23_occurrence,23
2,0.8868615284738496,0.762743402229038,fixed_top23_occurrence,23
3,0.6762656262721504,0.7459447802526828,fixed_top23_occurrence,23
4,0.7824637611450453,0.773184827470894,fixed_top23_occurrence,23
5,0.8258442350792875,0.7646764456840981,fixed_top23_occurrence,23
6,0.8423275399225487,0.7411705310319131,fixed_top23_occurrence,23
7,0.8705912678719961,0.7660078126187057,fixed_top23_occurrence,23
8,0.8775306096010999,0.760790515512101,fixed_top23_occurrence,23
9,0.8628360803497765,0.760394918621037,fixed_top23_occurrence,23
10,-0.345948484084246,0.7629896750048543,fixed_top23_occurrence,23
1,0.4540872011916151,0.839585392646336,rfe_fold_specific_n23,23
2,0.3789090655044497,0.7759614478134317,rfe_fold_specific_n23,23
3,0.8083232587051035,0.8145524936963566,rfe_fold_specific_n23,23
4,0.0777858599084692,0.7224514008379346,rfe_fold_specific_n23,23
5,0.7558064428231048,0.6951586435849121,rfe_fold_specific_n23,23
6,0.7514744712438192,0.7885428293228267,rfe_fold_specific_n23,23
7,0.8413799706392743,0.8240366630190641,rfe_fold_specific_n23,23
8,0.793804833934064,0.777897806720949,rfe_fold_specific_n23,23
9,0.7540145688527188,0.801895414425737,rfe_fold_specific_n23,23
10,0.4354645901026203,0.8292917851535044,rfe_fold_specific_n23,23
