Protein,Occurrence_count
YAL005C,10
YHR174W,10
YKL060C,10
YLR044C,9
YOL121C,9
YLR075W,8
YLR344W,7
YNL178W,7
YPL262W,7
YPR191W,7
YGR192C,6
YAL038W,5
YCR012W,5
YKL152C,5
YLL045C,5
YLR325C,5
YOR063W,5
YPL249C-A,5
YGR244C,4
YLR110C,4
YOR374W,4
YBL045C,3
YBL092W,3
YGR148C,3
YGR221C,3
YJR121W,3
YKL114C,3
YOL027C,3
YOR142W,3
YPL231W,3
YBL099W,2
YBR031W,2
YBR159W,2
YDR137W,2
YGL123W,2
YJR009C,2
YKL016C,2
YNL071W,2
YNL096C,2
YNL292W,2
YOL040C,2
YAR007C,1
YBL022C,1
YBR039W,1
YBR118W,1
YDL195W,1
YDR097C,1
YDR298C,1
YDR418W,1
YDR447C,1
YEL047C,1
YEL054C,1
YER074W,1
YER091C,1
YGL103W,1
YGR207C,1
YHL015W,1
YHR196W,1
YIL053W,1
YJR123W,1
YKL009W,1
YKL056C,1
YLL026W,1
YLR038C,1
YLR113W,1
YLR388W,1
YML024W,1
YML036W,1
YML124C,1
YMR027W,1
YMR071C,1
YMR194W,1
YMR314W,1
YNL002C,1
YNL007C,1
YNL055C,1
YNL069C,1
YOR117W,1
YOR133W,1
YOR335C,1
YOR369C,1
YPL078C,1
YPL134C,1
YPR043W,1
YPR140W,1
