"growth_rate","n_proteins","mean_mass_fraction","sd_mass_fraction","n_available","n_iterations","cv"
"0.10199999999999999","200 proteins",0.0807268553600359,0.0170797489086621,2511,1000,0.211574560070347
"0.152","200 proteins",0.081355472989431,0.0166130553004996,2468,1000,0.204203290695118
"0.214","200 proteins",0.0804375689999855,0.0159438642868276,2489,1000,0.198214148998343
"0.254","200 proteins",0.0812569120233057,0.0163609900415124,2472,1000,0.201348902316394
"0.28399999999999997","200 proteins",0.0796753020400276,0.0156842046098968,2525,1000,0.19685152372585
"0.33400000000000002","200 proteins",0.0825647308515599,0.0162199570977021,2437,1000,0.196451401590146
"0.379","200 proteins",0.0837817523707936,0.0158943864836025,2420,1000,0.189711793246561
"2.7E-2","200 proteins",0.079010889992471,0.0230642135369304,2560,1000,0.291911830623958
"4.3999999999999997E-2","200 proteins",0.0779417938184433,0.0199046297350186,2524,1000,0.255378132319923
"0.10199999999999999","500 proteins",0.200708807839755,0.0255122282519307,2511,1000,0.127110656111811
"0.152","500 proteins",0.205096006858198,0.0250408843316324,2468,1000,0.122093475710356
"0.214","500 proteins",0.204048593196049,0.024132791782461,2489,1000,0.11826982683127
"0.254","500 proteins",0.204797101782895,0.0228859653939955,2472,1000,0.111749459317334
"0.28399999999999997","500 proteins",0.20000519790185,0.0234273334927656,2525,1000,0.117133623218444
"0.33400000000000002","500 proteins",0.20707617811281,0.0237063927978735,2437,1000,0.114481506341878
"0.379","500 proteins",0.209714891184274,0.0252234959495347,2420,1000,0.120275178396231
"2.7E-2","500 proteins",0.198342163440274,0.0314561788210215,2560,1000,0.158595521372811
"4.3999999999999997E-2","500 proteins",0.196931494036778,0.0302888041332128,2524,1000,0.153803759430963
"0.10199999999999999","1000 proteins",0.400322256420773,0.031350114742509,2511,1000,0.0783121953368421
"0.152","1000 proteins",0.410453697418809,0.0317558609140796,2468,1000,0.0773677058186598
"0.214","1000 proteins",0.406007655713839,0.0292442624891385,2489,1000,0.0720288449677667
"0.254","1000 proteins",0.408258402337278,0.0302942242430336,2472,1000,0.0742035536062437
"0.28399999999999997","1000 proteins",0.396564306271531,0.0276330757851068,2525,1000,0.0696811975967051
"0.33400000000000002","1000 proteins",0.415157527676541,0.029135159741593,2437,1000,0.0701785654824808
"0.379","1000 proteins",0.41767222690969,0.0291632545610927,2420,1000,0.0698233032559248
"2.7E-2","1000 proteins",0.393696815225433,0.0407920054630711,2560,1000,0.10361273925905
"4.3999999999999997E-2","1000 proteins",0.398896965388023,0.0378703842586221,2524,1000,0.0949377597339807
