!
!Date: 01/19/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
MST27-MST28 vesicle formation complex	CPX-1303	located in	GO:0005783	endoplasmic reticulum	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Sandmann T, et al. (2003) PMID:12925749
COPII vesicle coat complex	CPX-2523	located in	GO:0005783	endoplasmic reticulum	cellular component		IDA	manually curated	ComplexPortal	2018-01-30	Campbell JL and Schekman R (1997) PMID:9023343
ERP2	YAL007C	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
SPO7	YAL009W	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
PMT2	YAL023C	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
DRS2	YAL026C	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
FRT2	YAL028W	located in	GO:0005783	endoplasmic reticulum	cellular component		IDA	manually curated	SGD	2013-08-07	Heath VL, et al. (2004) PMID:15189990
ERV46	YAL042W	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
FLC2	YAL053W	located in	GO:0005783	endoplasmic reticulum	cellular component		IDA	manually curated	SGD	2013-08-07	Protchenko O, et al. (2006) PMID:16717099
CNE1	YAL058W	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
YAL064W-B	YAL064W-B	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
PRM9	YAR031W	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
PRM9	YAR031W	located in	GO:0005783	endoplasmic reticulum	cellular component		IPI with PRM8	manually curated	SGD	2013-08-07	Sandmann T, et al. (2003) PMID:12925749
MST28	YAR033W	located in	GO:0005783	endoplasmic reticulum	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
MST28	YAR033W	located in	GO:0005783	endoplasmic reticulum	cellular component		IMP	manually curated	SGD	2013-08-07	Poirey R, et al. (2002) PMID:12101299
