!
!Date: 01/19/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
PPG1-FAR complex	CPX-1197	is active in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2021-11-12	Innokentev A, et al. (2020) PMID:33317697
tRNA-intron endonuclease complex	CPX-1832	located in	GO:0005741	mitochondrial outer membrane	cellular component		BSR	manually curated	ComplexPortal	2014-10-16	Trotta CR, et al. (1997) PMID:9200603
TOM40 mitochondrial outer membrane translocase core complex	CPX-473	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	ComplexPortal	2019-11-20	Dekker PJ, et al. (1998) PMID:9774667
TOM40 mitochondrial outer membrane translocase holocomplex	CPX-474	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	ComplexPortal	2019-11-20	Dekker PJ, et al. (1998) PMID:9774667
FUN14	YAL008W	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Sinzel M, et al. (2016) PMID:27226123
FUN14	YAL008W	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
MDM10	YAL010C	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2024-03-01	Zahedi RP, et al. (2006) PMID:16407407
MDM10	YAL010C	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2024-03-01	Sogo LF and Yaffe MP (1994) PMID:8089171
GEM1	YAL048C	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
GEM1	YAL048C	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Frederick RL, et al. (2004) PMID:15479738
SEN34	YAR008W	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
PTH2	YBL057C	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
BNA4	YBL098W	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
CNM1	YBR063C	is active in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2022-04-08	Eisenberg-Bord M, et al. (2021) PMID:34694322
EHT1	YBR177C	located in	GO:0005741	mitochondrial outer membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Zahedi RP, et al. (2006) PMID:16407407
FZO1	YBR179C	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Rapaport D, et al. (1998) PMID:9685359
FZO1	YBR179C	located in	GO:0005741	mitochondrial outer membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Hermann GJ, et al. (1998) PMID:9786948
