!
!Date: 01/04/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
MET4-MET28-MET32 sulfur metabolism transcription factor complex	CPX-1015	is active in	GO:0005634	nucleus	cellular component		IDA	manually curated	SGD	2024-08-21	Kuras L, et al. (1996) PMID:8665859
CBF1-MET4-MET28 sulfur metabolism transcription factor complex	CPX-1016	is active in	GO:0005634	nucleus	cellular component		IDA	manually curated	SGD	2024-08-21	Kuras L, et al. (1996) PMID:8665859
DNA mismatch repair MutSbeta complex	CPX-1036	located in	GO:0005634	nucleus	cellular component		HDA	manually curated	SGD	2024-09-24	Huh WK, et al. (2003) PMID:14562095
DNA mismatch repair MutSalpha complex	CPX-1037	is active in	GO:0005634	nucleus	cellular component		HDA	manually curated	SGD	2024-09-24	Huh WK, et al. (2003) PMID:14562095
PIP2-OAF1 transcription factor complex	CPX-1038	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2014-10-16	Rottensteiner H, et al. (2003) PMID:12748191
COMPASS complex	CPX-1039	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2014-10-16	Roguev A, et al. (2001) PMID:11742990
GAL3-GAL80 transcription regulation complex	CPX-1042	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2017-12-18	Wightman R, et al. (2008) PMID:18952899
GAL1-GAL80 transcription regulation complex	CPX-1043	located in	GO:0005634	nucleus	cellular component		BSR with CPX-1042	manually curated	ComplexPortal	2017-12-18	, (2018)
GAL4-GAL80 transcription repressor complex	CPX-1044	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2017-12-18	Wightman R, et al. (2008) PMID:18952899
Cleavage and polyadenylation specificity factor complex	CPX-1053	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Nedea E, et al. (2003) PMID:12819204
DNA polymerase zeta complex	CPX-1091	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2024-02-14	Acharya N, et al. (2009) PMID:19487673
RNA polymerase I upstream activating factor complex	CPX-1101	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2014-10-16	Siddiqi IN, et al. (2001) PMID:11500378
MOT1-TBP transcription regulation complex	CPX-1141	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2017-12-18	Viswanathan R, et al. (2016) PMID:27255709
MEX67-MTR2 mRNA nuclear export factor complex	CPX-1142	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-12-05	Strässer K, et al. (2000) PMID:10952996
General transcription factor TFIIF complex	CPX-1149	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2017-12-18	Rani PG, et al. (2004) PMID:14749386
ARGR-MCM1 transcription regulation complex	CPX-1152	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-01-30	El Bakkoury M, et al. (2000) PMID:10632874
Kinetochore MIS12 complex	CPX-1186	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2016-10-31	Corbett KD, et al. (2010) PMID:20723757
RAP1-GCR1 transcription activation complex	CPX-1200	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2017-12-18	Tornow J, et al. (1993) PMID:8508768
RAP1-GCR1-GCR2 transcription activation complex	CPX-1229	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2017-12-18	Deminoff SJ and Santangelo GM (2001) PMID:11333224
GAC1-GLC7 phosphatase complex	CPX-1231	is active in	GO:0005634	nucleus	cellular component		IDA	manually curated	SGD	2024-10-02	Bloecher A and Tatchell K (2000) PMID:10747092
HIR histone chaperone complex	CPX-124	is active in	GO:0005634	nucleus	cellular component		IC with nucleosome assembly	manually curated	SGD	2025-09-23	Prochasson P, et al. (2005) PMID:16264190
SDS22-GLC7 phosphatase complex	CPX-1249	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2017-11-14	Peggie MW, et al. (2002) PMID:11801737
SDS22-GLC7-YPI1 phosphatase complex	CPX-1260	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2017-11-14	Pedelini L, et al. (2007) PMID:17142459
INO2-INO4 transcription activation complex	CPX-1277	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	SGD	2024-10-16	Brickner JH and Walter P (2004) PMID:15455074
NRD1 snoRNA termination complex	CPX-1316	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Nedea E, et al. (2008) PMID:18342605
RAD53-ASF1 complex	CPX-1322	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2018-12-05	Tsabar M, et al. (2016) PMID:27222517
RAT1-RAI1 RNA polymerase II termination complex	CPX-1332	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Park J, et al. (2015) PMID:25722373
Separin-securin complex	CPX-1340	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2018-02-14	Hornig NC, et al. (2002) PMID:12123570
SET3C histone deacetylase complex	CPX-1342	located in	GO:0005634	nucleus	cellular component		IDA	manually curated	ComplexPortal	2018-02-14	Pijnappel WW, et al. (2001) PMID:11711434
RTT107-SLX4-SLX1 complex	CPX-1355	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2017-12-18	Roberts TM, et al. (2006) PMID:16267268
SAW1-RAD1-RAD10 endonuclease complex	CPX-1363	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Diamante G, et al. (2014) PMID:24565838
SNT2C histone deacetylase complex	CPX-1372	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-02-14	Baker LA, et al. (2013) PMID:23878396
Nuclear meiotic cohesin complex	CPX-1408	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Katis VL, et al. (2010) PMID:20230747
IME1-UME6 transcription activation complex	CPX-1415	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2017-12-18	Rubin-Bejerano I, et al. (1996) PMID:8628320
BBP-MUD2 branchpoint-binding complex	CPX-1417	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Wang Q, et al. (2008) PMID:18375978
Spliceosomal commitment complex	CPX-1418	located in	GO:0005634	nucleus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Abovich N and Rosbash M (1997) PMID:9150140
