!
!Date: 04/07/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
Vacuolar proton translocating ATPase complex, vacuole variant	CPX-1193	located in	GO:0000329	fungal-type vacuole membrane	cellular component		BSR	manually curated	ComplexPortal	2021-10-18	Vasanthakumar T, et al. (2019) PMID:30910982
MYO2-VAC17-VAC8 transport complex	CPX-1304	located in	GO:0000329	fungal-type vacuole membrane	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Tang F, et al. (2003) PMID:12594460
EGO complex	CPX-3172	located in	GO:0000329	fungal-type vacuole membrane	cellular component		BSR	manually curated	ComplexPortal	2020-08-08	Powis K, et al. (2015) PMID:26206314
Vacuolar SNARE complex SSO1-SEC9-NYV1	CPX-5521	located in	GO:0000329	fungal-type vacuole membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Wen W, et al. (2006) PMID:16855025
FET5-FTH1 high affinity iron exporter complex	CPX-869	located in	GO:0000329	fungal-type vacuole membrane	cellular component		BSR	manually curated	ComplexPortal	2017-01-31	Urbanowski JL and Piper RC (1999) PMID:10608875
SSA1	YAL005C	located in	GO:0000329	fungal-type vacuole membrane	cellular component		IDA	manually curated	SGD	2003-03-06	Satyanarayana C, et al. (2000) PMID:10745074
FUN26	YAL022C	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
FUN26	YAL022C	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Wiederhold E, et al. (2009) PMID:19001347
FUN26	YAL022C	located in	GO:0000329	fungal-type vacuole membrane	cellular component		IDA	manually curated	SGD	2011-03-21	Lu SP and Lin SJ (2011) PMID:21349851
UIP3	YAR027W	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
KTD1	YAR028W	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Wiederhold E, et al. (2009) PMID:19001347
KTD1	YAR028W	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
SEC17	YBL050W	located in	GO:0000329	fungal-type vacuole membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
