!
!Date: 04/10/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
COX1	Q0045	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
COX1	Q0045	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ATP6	Q0085	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
ATP6	Q0085	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
COB	Q0105	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
COB	Q0105	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
BI2	Q0110	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
BI2	Q0110	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
BI3	Q0115	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
BI3	Q0115	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
COX2	Q0250	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
COX2	Q0250	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with SL-0168	computational	UniProt	2024-03-12	UniProt-GOA (2012)
COX3	Q0275	located in	GO:0005743	mitochondrial inner membrane	cellular component		IEA with KW-0999	computational	UniProt	2024-03-20	UniProt-GOA (2012)
