!
!Date: 04/15/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
Q0010	Q0010	located in	GO:0005739	mitochondrion	cellular component		IEA with KW-0496	computational	UniProt	2024-03-20	UniProt-GOA (2012)
Q0010	Q0010	located in	GO:0005739	mitochondrion	cellular component		IEA with SL-0173	computational	UniProt	2024-03-12	UniProt-GOA (2012)
Q0017	Q0017	located in	GO:0005739	mitochondrion	cellular component		IEA with KW-0496	computational	UniProt	2024-03-20	UniProt-GOA (2012)
Q0017	Q0017	located in	GO:0005739	mitochondrion	cellular component		IEA with SL-0173	computational	UniProt	2024-03-12	UniProt-GOA (2012)
Q0032	Q0032	located in	GO:0005739	mitochondrion	cellular component		IEA with KW-0496	computational	UniProt	2024-03-20	UniProt-GOA (2012)
Q0032	Q0032	located in	GO:0005739	mitochondrion	cellular component		IEA with SL-0173	computational	UniProt	2024-03-12	UniProt-GOA (2012)
COX1	Q0045	located in	GO:0005739	mitochondrion	cellular component		IEA with KW-0496	computational	UniProt	2024-03-20	UniProt-GOA (2012)
COX1	Q0045	located in	GO:0005739	mitochondrion	cellular component		IEA	computational	UniProt	2024-03-12	UniProt (2021)
AI1	Q0050	is active in	GO:0005739	mitochondrion	cellular component		IBA with PTN001458056	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
AI1	Q0050	is active in	GO:0005739	mitochondrion	cellular component		IBA with AI1	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
AI1	Q0050	is active in	GO:0005739	mitochondrion	cellular component		IBA with AI2	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
AI1	Q0050	is active in	GO:0005739	mitochondrion	cellular component		IBA with locus:2019140	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
AI1	Q0050	located in	GO:0005739	mitochondrion	cellular component		IEA with KW-0496	computational	UniProt	2024-03-20	UniProt-GOA (2012)
AI1	Q0050	located in	GO:0005739	mitochondrion	cellular component		IEA with SL-0173	computational	UniProt	2024-03-12	UniProt-GOA (2012)
AI1	Q0050	located in	GO:0005739	mitochondrion	cellular component		IEA	computational	UniProt	2024-03-12	UniProt (2021)
AI2	Q0055	is active in	GO:0005739	mitochondrion	cellular component		IBA with PTN001458056	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
AI2	Q0055	is active in	GO:0005739	mitochondrion	cellular component		IBA with AI1	computational	GO_Central	2022-09-25	Gaudet P, et al (2010)
