!
!Date: 04/07/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
RBG1	YAL036C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
MIN6	YBL039W-B	located in	GO:0005777	peroxisome	cellular component		HDA	manually curated	SGD	2018-11-20	Yofe I, et al. (2016) PMID:26928762
BNA4	YBL098W	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
FAT1	YBR041W	located in	GO:0005777	peroxisome	cellular component		IMP	manually curated	SGD	2010-02-25	Watkins PA, et al. (1998) PMID:9660783
ALG14	YBR070C	located in	GO:0005777	peroxisome	cellular component		HDA	manually curated	SGD	2022-05-26	David Y, et al. (2022) PMID:35563734
YBR072C-A	YBR072C-A	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
MTC4	YBR255W	located in	GO:0005777	peroxisome	cellular component	existence overlaps cellular response to oleic acid	IDA	manually curated	SGD	2021-09-29	Yifrach E, et al. (2016) PMID:27663510
TYC1	YBR296C-A	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
GID7	YCL039W	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
CIT2	YCR005C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2006-11-27	Lee JG, et al. (2006) PMID:16877773
CIT2	YCR005C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2015-07-08	Nakatsukasa K, et al. (2015) PMID:25982115
PTC1	YDL006W	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-05-26	David Y, et al. (2022) PMID:35563734
GPD1	YDL022W	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2005-02-10	Valadi A, et al. (2004) PMID:15210723
MPS1	YDL028C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
PBP4	YDL053C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
MDH3	YDL078C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2005-05-16	Steffan JS and McAlister-Henn L (1992) PMID:1447211
MDH3	YDL078C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2014-02-04	van Roermund CW, et al. (1995) PMID:7628449
DMO2	YDL157C	located in	GO:0005777	peroxisome	cellular component		IDA	manually curated	SGD	2022-10-21	Yifrach E, et al. (2022) PMID:36164978
