Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
O14007	CBF5_SCHPO	H/ACA ribonucleoprotein complex subunit cbf5 (EC 5.4.99.-) (Centromere-binding factor 5 homolog)	cbf5 SPAC29A4.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	474	"53,110"		cbf5	SPAC29A4.04c	
Q8WZJ7	C1TC_SCHPO	"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"	SPBC839.16	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	937	"101,203"			SPBC839.16	
O94730	CHMP7_SCHPO	Charged multivesicular body protein 7 (Chmp7) (ESCRT III complex subunit Cmp7) (Cmp7)	cmp7 SPBC1604.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	449	"50,788"		cmp7	SPBC1604.18c	
P10506	BYR1_SCHPO	Protein kinase byr1 (EC 2.7.12.2) (MAPK kinase) (MAPKK)	byr1 ste1 SPAC1D4.13	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	340	"38,189"	ste1	byr1	SPAC1D4.13	
O13980	MEU29_SCHPO	Meiotic expression up-regulated protein 29	meu29 SPAC25H1.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	217	"24,658"		meu29	SPAC25H1.05	
O13894	MU103_SCHPO	Meiotically up-regulated gene 103 protein	mug103 SPAC22A12.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	124	"14,736"		mug103	SPAC22A12.02c	
Q9P6P9	PDK_SCHPO	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (Pyruvate dehydrogenase kinase) (EC 2.7.11.2)"	pkp1 SPAC644.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	425	"48,187"		pkp1	SPAC644.11c	
Q9P6N9	PER1_SCHPO	Protein PER1 homolog	SPAC823.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	331	"38,356"			SPAC823.07	
O60101	PGK_SCHPO	Phosphoglycerate kinase (EC 2.7.2.3)	pgk1 SPBC14F5.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	414	"43,964"		pgk1	SPBC14F5.04c	
O13298	PHD1_SCHPO	Histone deacetylase phd1 (EC 3.5.1.98)	phd1 hda1 SPAC3G9.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	434	"49,381"	hda1	phd1	SPAC3G9.07c	
