Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P61829	ATP9_YEAST	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	OLI1 ATP9 OLI3 PHO2 Q0130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	76	7,759	ATP9 OLI3 PHO2	OLI1		Q0130	PF00137;	SSF81333;	ATPase C chain family	Electron microscopy (8); X-ray crystallography (12)
Q07457	BRE1_YEAST	E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1)	BRE1 YDL074C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	700	80,692		BRE1		YDL074C			BRE1 family	X-ray crystallography (1)
Q05949	BUR2_YEAST	Protein BUR2 (Bypass UAS requirement protein 2) (Chromosome stability protein 4)	BUR2 CST4 YLR226W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	395	45,721	CST4	BUR2		YLR226W		SSF47954;		
P32504	CBF3A_YEAST	Centromere DNA-binding protein complex CBF3 subunit A (Centromere-binding factor 2) (Chromosome transmission fidelity protein 14) (Kinetochore protein CTF14)	CBF2 CBF3A CEP2 CTF14 NDC10 YGR140W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	956	111,917	CBF3A CEP2 CTF14 NDC10	CBF2		YGR140W	PF12550;PF16787;			Electron microscopy (4); X-ray crystallography (1)
P40969	CBF3B_YEAST	Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3)	CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	608	71,358	CBF3 CBF3B CSL1	CEP3	YM8520.17C	YMR168C	PF16846;PF00172;	SSF57701;		Electron microscopy (6); X-ray crystallography (2)
P53941	IMP4_YEAST	U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Interacting with MPP10 protein 4)	IMP4 YNL075W N2353	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	33,482		IMP4	N2353	YNL075W	PF04427;			Electron microscopy (24)
P46972	IMP2_YEAST	Mitochondrial inner membrane protease subunit 2 (EC 3.4.21.-)	IMP2 YMR035W YM9973.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177	19,930		IMP2	YM9973.09	YMR035W	PF10502;	SSF51306;	Peptidase S26 family, IMP2 subfamily	
P28239	IPYR2_YEAST	Inorganic pyrophosphatase, mitochondrial (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA2 IPP2 YMR267W YM8156.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310	35,573	IPP2	PPA2	YM8156.09	YMR267W	PF00719;	SSF50324;	PPase family	
P42846	KRI1_YEAST	Protein KRI1 (KRR1-interacting protein 1)	KRI1 YNL308C N0388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	68,654		KRI1	N0388	YNL308C	PF05178;PF12936;		KRI1 family	
Q06147	LCB5_YEAST	Sphingoid long chain base kinase 5 (LCB kinase 5) (EC 2.7.1.91) (Sphinganine kinase 5)	LCB5 YLR260W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687	77,566		LCB5		YLR260W	PF00781;	SSF111331;		
