DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C	132146.8	1160
S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting	144934.1	1274
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	22603	206
S000000004	YAL005C	S. cerevisiae	SSA1	Stress-Seventy subfamily A	69636.8	642
S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein	24058.8	215
S000000006	YAL008W	S. cerevisiae	FUN14	Function Unknown Now	22081.7	198
S000000007	YAL009W	S. cerevisiae	SPO7	SPOrulation	30130	259
S000000008	YAL010C	S. cerevisiae	MDM10	Mitochondrial Distribution and Morphology	56236.5	493
S000000009	YAL011W	S. cerevisiae	SWC3	SWr Complex	72531.5	625
S000000010	YAL012W	S. cerevisiae	CYS3	CYStathionine gamma-lyase	42535.4	394
S000000011	YAL013W	S. cerevisiae	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	46938.1	405
S000000012	YAL014C	S. cerevisiae	SYN8	SYNtaxin	29034	255
S000000013	YAL015C	S. cerevisiae	NTG1	eNdonuclease Three-like Glycosylase	45579.4	399
S000000014	YAL016W	S. cerevisiae	TPD3	tRNA Processing Deficient	70873.7	635
S000000015	YAL017W	S. cerevisiae	PSK1	Pas domain-containing Serine/threonine protein Kinase	152294.2	1356
S000000016	YAL018C	S. cerevisiae	LDS1	Lipid Droplets in Sporulation	37053.6	325
S000000017	YAL019W	S. cerevisiae	FUN30	Function Unknown Now	128470.9	1131
S000000018	YAL020C	S. cerevisiae	ATS1	Alpha Tubulin Suppressor	36463.6	333
S000000019	YAL021C	S. cerevisiae	CCR4	Carbon Catabolite Repression	94662.8	837
S000000020	YAL022C	S. cerevisiae	FUN26	Function Unknown Now	58298.6	517
S000000021	YAL023C	S. cerevisiae	PMT2	Protein O-MannosylTransferase	86871.5	759
S000000022	YAL024C	S. cerevisiae	LTE1	Low Temperature Essential	163134.9	1435
S000000023	YAL025C	S. cerevisiae	MAK16	MAintenance of Killer	35680.9	306
S000000024	YAL026C	S. cerevisiae	DRS2	Deficiency of Ribosomal Subunits	153727.8	1355
S000000025	YAL027W	S. cerevisiae	SAW1	Single-strand Annealing Weakened	29778	261
S000000026	YAL028W	S. cerevisiae	FRT2	Functionally Related to TCP1	58757.8	528
S000000027	YAL029C	S. cerevisiae	MYO4	MYOsin	169346.1	1471
S000000028	YAL030W	S. cerevisiae	SNC1	Suppressor of the Null allele of CAP	13202.5	117
S000000029	YAL031C	S. cerevisiae	GIP4	Glc7 Interacting Protein	86677.1	760
S000000030	YAL032C	S. cerevisiae	PRP45	Pre-mRNA Processing	42490.4	379
S000000031	YAL033W	S. cerevisiae	POP5	Processing Of Precursor RNAs	19574.8	173
S000000032	YAL034W-A	S. cerevisiae	MTW1	Mis TWelve-like	33235.5	289
S000000033	YAL035W	S. cerevisiae	FUN12	Function Unknown Now	112251.6	1002
S000000034	YAL036C	S. cerevisiae	RBG1	RiBosome interacting Gtpase	40704.5	369
S000000035	YAL037W	S. cerevisiae			30459.4	267
S000000036	YAL038W	S. cerevisiae	CDC19	Cell Division Cycle	54546.3	500
S000000037	YAL039C	S. cerevisiae	CYC3	CYtochrome C	30071.2	269
S000000038	YAL040C	S. cerevisiae	CLN3	CycLiN	65007.7	580
S000000039	YAL041W	S. cerevisiae	CDC24	Cell Division Cycle	96946.8	854
S000000040	YAL042W	S. cerevisiae	ERV46	ER Vesicle	46230.7	415
S000000041	YAL043C	S. cerevisiae	PTA1	Pre-Trna Accumulation	88464.8	785
S000000042	YAL044C	S. cerevisiae	GCV3	GlyCine cleaVage	18782.1	170
S000000043	YAL045C	S. cerevisiae			11646.9	102
S000000044	YAL046C	S. cerevisiae	BOL3	BolA-like protein	13364.9	118
S000000045	YAL047C	S. cerevisiae	SPC72	Spindle Pole Component	72073.2	622
S000000046	YAL048C	S. cerevisiae	GEM1	GTPase EF-hand protein of Mitochondria	75138.9	662
S000000047	YAL049C	S. cerevisiae	AIM2	Altered Inheritance rate of Mitochondria	27083.1	246
S000000048	YAL051W	S. cerevisiae	OAF1	Oleate-Activated transcription Factor	118886.4	1047
S000000049	YAL053W	S. cerevisiae	FLC2	FLavin Carrier	87472.3	783
S000000050	YAL054C	S. cerevisiae	ACS1	Acetyl CoA Synthetase	79132.4	713
S000000051	YAL055W	S. cerevisiae	PEX22	PEroXisome related	19880.1	180
