Protein,MW,Rxn,0.05213,0.39457,0.28828,0.18299
AOX1,40814.0,AOX1_translation_Ribosome,0.0,0.0,0.0,0.0
GFP,26886.0,GFP_translation_Ribosome,0.0,0.0,0.0,0.0
HBA,15258.0,HBA_translation_Ribosome,0.0,0.0,0.0,0.0
HBB,15998.0,HBB_translation_Ribosome,0.0,0.0,0.0,0.0
mCherry,26722.0,mCherry_translation_Ribosome,0.0,0.0,0.0,0.0
mCherry1,26722.0,mCherry1_translation_Ribosome,0.0,0.0,0.0,0.0
NOX1,50255.0,NOX1_translation_Ribosome,0.0,0.0,0.0,0.0
Q0045,58795.3,Q0045_translation_mitochondrion_Ribosome,4.5092321541292494e-05,5.8034468472584944e-05,7.30296898430739e-05,0.00011937022788211817
Q0080,5825.3,Q0080_translation_mitochondrion_Ribosome,0.00011159975240235502,0.0001420768281078337,0.00017975106044029683,0.0002951454885880447
Q0085,29100.1,Q0085_translation_mitochondrion_Ribosome,0.0005574929969072444,0.000709740254685728,0.0008979406784060361,0.0014743898567388734
Q0105,43661.2,Q0105_translation_mitochondrion_Ribosome,0.0009141526736847677,0.0011765276815811339,0.0014805244872407104,0.0024199821443407206
Q0130,7760.5,Q0130_translation_mitochondrion_Ribosome,0.0014867386718597773,0.001892756123342735,0.0023946545320359873,0.003931946104385219
Q0140,47155.2,Q0140_translation_mitochondrion_Ribosome,1.3697454179332463e-05,8.162519257696366e-05,7.771304389116832e-05,8.655006992498317e-05
Q0250,28550.2,Q0250_translation_mitochondrion_Ribosome,2.189621956973106e-05,2.8180750532542478e-05,3.5462226588821355e-05,5.7964563155219034e-05
Q0275,30356.9,Q0275_translation_mitochondrion_Ribosome,2.328184558624349e-05,2.9964071209355405e-05,3.7706330124979546e-05,6.163264871162615e-05
YAL003W,22603.0,YAL003W_translation_Ribosome,0.0005164767743702394,0.002358755889043622,0.0017840232917638093,0.001216204269111008
YAL005C,69636.8,YAL005C_translation_Ribosome,9.603533122284731e-05,0.0012154572556901007,0.0008908094791717635,0.00035468984171603047
YAL012W,42535.4,YAL012W_translation_Ribosome,7.826409895335404e-05,0.0,0.0,0.0
YAL022C,58298.6,YAL022C_translation_Ribosome,0.0,0.0,0.0,0.0
YAL023C,86871.5,YAL023C_translation_Ribosome,0.0,0.0,0.0,0.0
YAL025C,35680.9,YAL025C_translation_Ribosome,3.4472109522635756e-06,3.7064895637018376e-05,2.3052470164530944e-05,1.2349820685872174e-05
YAL033W,19574.8,YAL033W_translation_Ribosome,0.0,0.0,0.0,0.0
YAL035W,112251.6,YAL035W_translation_Ribosome,0.0018968490771043615,0.00208498648310142,0.001468726912430698,0.0018877541661169832
YAL038W,54546.3,YAL038W_translation_Ribosome,0.0,0.010847761736126863,0.0,0.0017498952763761548
YAL044C,18782.1,YAL044C_translation_Ribosome,0.0,0.0,0.0,0.0
YAL054C,79132.4,YAL054C_translation_Ribosome,0.0,6.357507518314656e-06,5.424663270130868e-06,0.0
YAL060W,41574.4,YAL060W_translation_Ribosome,0.0,0.0,0.0,0.0
YAL062W,49619.6,YAL062W_translation_Ribosome,0.0,0.0,0.0,0.0
YAR002W,59053.1,YAR002W_translation_Ribosome,0.0,0.0,0.0,0.0
YAR008W,31313.3,YAR008W_translation_Ribosome,0.0,0.0,0.0,0.0
YAR015W,34597.6,YAR015W_translation_Ribosome,2.077771393792634e-06,2.0613706092106866e-05,1.4192891985370663e-05,8.346168317171095e-06
YAR035W,77761.4,YAR035W_translation_Ribosome,0.0,0.0,0.0,0.0
YAR071W,52741.1,YAR071W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL004W,287550.5,YBL004W_translation_Ribosome,2.7780892099943313e-05,0.0002987040481846717,0.00018577864689640547,9.952655659282379e-05
YBL011W,85693.2,YBL011W_translation_Ribosome,4.1192586317399763e-05,0.0,0.0,0.0
YBL013W,44635.5,YBL013W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL015W,58705.5,YBL015W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL018C,15503.5,YBL018C_translation_Ribosome,0.0,0.0,0.0,0.0
YBL024W,77878.6,YBL024W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL027W,21736.8,YBL027W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL030C,34446.7,YBL030C_translation_Ribosome,0.0,0.0,0.0014946498153050416,0.0
YBL033C,38325.5,YBL033C_translation_Ribosome,2.8101743775709363e-09,1.5177209975973135e-08,1.217098414954276e-08,8.552617720160692e-09
YBL038W,26545.5,YBL038W_translation_Ribosome,7.710830829208018e-06,4.5950002323217565e-05,4.374770134816539e-05,4.8722407734324973e-05
YBL039C,64693.8,YBL039C_translation_Ribosome,1.713301865964744e-05,0.00015601094253034386,0.00011515737730712792,6.809078723574044e-05
YBL041W,26866.3,YBL041W_translation_Ribosome,0.00019298839602844629,0.00022131577904754913,0.00021087133520597033,0.0002032719531473602
YBL042C,72166.6,YBL042C_translation_Ribosome,0.0,0.0,0.0,0.0
YBL045C,50227.3,YBL045C_translation_Ribosome,0.0010516298358031143,0.0013534627729214976,0.001703176907139184,0.002783917280295656
YBL064C,29501.1,YBL064C_translation_Ribosome,0.0,0.0,0.0,0.0
YBL068W,35714.4,YBL068W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL072C,22517.2,YBL072C_translation_Ribosome,0.0013720805876752298,0.0032073676092109924,0.0026348169493235025,0.0020691537426163415
YBL075C,70527.4,YBL075C_translation_Ribosome,9.044973904329037e-05,0.0011577389732797614,0.0008566363761110048,0.00033481520625418926
YBL076C,122966.3,YBL076C_translation_Ribosome,1.8953300026748423e-05,9.632449606301828e-05,7.173030500363152e-05,4.702889545047246e-05
YBL079W,169454.3,YBL079W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL087C,14485.3,YBL087C_translation_Ribosome,0.0,0.0,0.0,0.0
YBL090W,20413.2,YBL090W_translation_Ribosome,5.929544814857099e-06,3.533505066486993e-05,3.3641505232915934e-05,3.74670001907036e-05
YBL092W,14794.7,YBL092W_translation_Ribosome,0.0009015117630290942,0.002107368658980418,0.0017311800010727989,0.0013595166750699904
YBL098W,52435.1,YBL098W_translation_Ribosome,0.0,0.0,0.0,0.0
YBL099W,58614.7,YBL099W_translation_Ribosome,0.003368780667333005,0.004288770015188352,0.005426014702619538,0.008909342490485467
YBR002C,32695.0,YBR002C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR003W,52567.2,YBR003W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR004C,50779.0,YBR004C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR006W,54186.7,YBR006W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR011C,32291.7,YBR011C_translation_Ribosome,0.00010280979394535202,0.0004868786444657326,0.00038660494891465315,0.00027171363266145326
YBR018C,42385.5,YBR018C_translation_Ribosome,0.0026306296737940776,0.0018206102373795206,0.013835240105219415,0.011918201413424957
YBR019C,78182.9,YBR019C_translation_Ribosome,0.0,0.0,0.0,0.005544664566858503
YBR020W,57940.9,YBR020W_translation_Ribosome,0.0,0.0,0.0,0.0037590148701119913
YBR021W,71740.4,YBR021W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR023C,131593.5,YBR023C_translation_Ribosome,0.0,4.591171478242081e-08,3.681775199656505e-08,0.0
YBR026C,42074.3,YBR026C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR029C,51832.3,YBR029C_translation_Ribosome,3.15266993501312e-05,0.0001359906503559357,0.00011827624571461194,9.003610303652632e-05
YBR031W,39126.9,YBR031W_translation_Ribosome,0.0023841889731365334,0.00557326629016208,0.004578376498609319,0.0035954546556399257
YBR034C,39771.3,YBR034C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR035C,26908.5,YBR035C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR036C,45442.5,YBR036C_translation_Ribosome,2.5849791913764896e-07,1.0942022833141456e-06,9.526101172105057e-07,7.217111206137574e-07
YBR038W,109894.8,YBR038W_translation_Ribosome,3.5495847520934555e-09,0.0,0.0,1.0802974253935016e-08
YBR039W,34360.0,YBR039W_translation_Ribosome,0.0006582609466542356,0.0008380271940990448,0.0010602452125604862,0.0017408887075146715
YBR041W,77147.6,YBR041W_translation_Ribosome,3.7426796915408834e-07,1.5842482128519769e-06,1.3792430328004244e-06,1.0449343512285745e-06
YBR042C,45529.6,YBR042C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR048W,17775.3,YBR048W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR058CA,9581.3,YBR058CA_translation_Ribosome,0.0,0.0,0.0,0.0
YBR061C,34703.0,YBR061C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR068C,67775.0,YBR068C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR069C,68760.1,YBR069C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR079C,110332.4,YBR079C_translation_Ribosome,0.0018644180672231774,0.0020493388303430785,0.0014436156383790405,0.001855478654715705
YBR082C,16453.9,YBR082C_translation_Ribosome,0.00011819311812242297,0.00013554183854384372,0.00012914528097823357,0.00012449114280311583
YBR084CA,21736.8,YBR084CA_translation_Ribosome,0.0013245270867682896,0.003096206821802777,0.0025434995942681645,0.0019974411149034023
YBR084W,106228.6,YBR084W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR085W,33333.4,YBR085W_translation_Ribosome,0.0,0.0010577309466533646,0.0,0.002525063128426968
YBR091C,12283.1,YBR091C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR092C,52745.8,YBR092C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR093C,52832.8,YBR093C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR097W,166364.6,YBR097W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR110W,51938.5,YBR110W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR115C,155321.8,YBR115C_translation_Ribosome,1.8942114176741272e-05,0.0001795910867713046,0.00012675617258957127,7.776126467819762e-05
YBR117C,75016.0,YBR117C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR121C,75325.4,YBR121C_translation_Ribosome,1.132067699963557e-05,6.668870761150225e-05,6.373296626130002e-05,7.124042737989162e-05
YBR122C,20101.0,YBR122C_translation_Ribosome,5.8388582056435325e-06,3.479463550127126e-05,3.312699119622808e-05,3.689397893683172e-05
YBR126C,56136.2,YBR126C_translation_Ribosome,5.1236666825409284e-05,0.0,2.305250207495115e-05,6.883926018817944e-05
YBR127C,57728.7,YBR127C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR132C,67261.4,YBR132C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR142W,87054.1,YBR142W_translation_Ribosome,8.410489840767709e-06,9.043076635607739e-05,5.6243313452017546e-05,3.0131037192727336e-05
YBR143C,48988.8,YBR143C_translation_Ribosome,0.00019893089746521808,0.0010271620389602932,0.0007461282372452473,0.0004930726782714772
YBR145W,37642.5,YBR145W_translation_Ribosome,0.0,0.00010625242995498637,7.515321015242343e-05,4.3402178732560135e-06
YBR146W,31952.8,YBR146W_translation_Ribosome,9.281521738882972e-06,5.530998603278545e-05,5.26590778714908e-05,5.8647128509666006e-05
YBR149W,38874.8,YBR149W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR153W,27114.5,YBR153W_translation_Ribosome,5.301742654687134e-12,2.863368983469022e-11,2.2962071795319758e-11,1.613557455299386e-11
YBR159W,38722.7,YBR159W_translation_Ribosome,2.0833484138816499e-10,1.732371918186495e-09,7.677503878401871e-10,5.81658731887434e-10
YBR161W,44393.4,YBR161W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR166C,50917.7,YBR166C_translation_Ribosome,5.350751814172843e-07,8.73100905642401e-06,6.190091446647722e-06,3.6314558071807714e-06
YBR167C,15820.5,YBR167C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR169C,77607.4,YBR169C_translation_Ribosome,5.880476285488569e-05,0.0008917645011451852,0.0005414673669485649,0.0002527896449108101
YBR176W,34468.3,YBR176W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR180W,63416.4,YBR180W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR181C,27023.9,YBR181C_translation_Ribosome,0.001646695352587206,0.003849305488007254,0.0031621618032803105,0.002483284059522932
YBR183W,36422.9,YBR183W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR189W,22313.1,YBR189W_translation_Ribosome,0.0013596437994446986,0.003178295445307844,0.0026109344888329915,0.002050398556408998
YBR191W,18262.6,YBR191W_translation_Ribosome,0.0,0.0026013390519237147,0.0021369712050661447,0.0016781894347390079
YBR192W,42120.2,YBR192W_translation_Ribosome,3.272284974273893e-08,1.385133660826737e-07,1.2058943388361675e-07,9.136028884220869e-08
YBR196C,61289.6,YBR196C_translation_Ribosome,1.001647039084743e-05,0.00023652205694994917,0.00017454793226232872,3.571360035895041e-05
