DBID	Systematic_name	Organism	Standard_name	Gene_name	Abundance_median	Abundance_SD	Molecular_weight
S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C	1809	1003	132146.8
S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting	1353	617	144934.1
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	67822	33639	22603
S000000004	YAL005C	S. cerevisiae	SSA1	Stress-Seventy subfamily A	255901	159925	69636.8
S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein	6821	2972	24058.8
S000000006	YAL008W	S. cerevisiae	FUN14	Function Unknown Now	1920	547	22081.7
S000000007	YAL009W	S. cerevisiae	SPO7	SPOrulation	1104	245	30130
S000000008	YAL010C	S. cerevisiae	MDM10	Mitochondrial Distribution and Morphology	1279	611	56236.5
S000000009	YAL011W	S. cerevisiae	SWC3	SWr Complex	1122	467	72531.5
S000000010	YAL012W	S. cerevisiae	CYS3	CYStathionine gamma-lyase	33347	6780	42535.4
S000000011	YAL013W	S. cerevisiae	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	2408	1186	46938.1
S000000012	YAL014C	S. cerevisiae	SYN8	SYNtaxin	1672	489	29034
S000000013	YAL015C	S. cerevisiae	NTG1	eNdonuclease Three-like Glycosylase	1154	404	45579.4
S000000014	YAL016W	S. cerevisiae	TPD3	tRNA Processing Deficient	12016	2459	70873.7
S000000015	YAL017W	S. cerevisiae	PSK1	Pas domain-containing Serine/threonine protein Kinase	2513	1462	152294.2
S000000016	YAL018C	S. cerevisiae	LDS1	Lipid Droplets in Sporulation			37053.6
S000000017	YAL019W	S. cerevisiae	FUN30	Function Unknown Now	3730	1192	128470.9
S000000018	YAL020C	S. cerevisiae	ATS1	Alpha Tubulin Suppressor	998	145	36463.6
S000000019	YAL021C	S. cerevisiae	CCR4	Carbon Catabolite Repression	4896	1300	94662.8
S000000020	YAL022C	S. cerevisiae	FUN26	Function Unknown Now	1519	1257	58298.6
S000000021	YAL023C	S. cerevisiae	PMT2	Protein O-MannosylTransferase	5005	2478	86871.5
