,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0A8T7,155045.008,4780,3900,3477,3000,8.68,1.74,8.99,1.47
P0A8V2,150520.2758,5245,4388,3860,3455,8.28,2.75,8.53,1.24
P36683,93420.9457,15733,20261,16410,13763,4.97,3.1,5.24,0.93
P15254,141295.8984,2285,1730,1468,1219,8.93,4.43,9.08,3.3
P09831,163176.3153,2321,1959,1771,1379,7.97,5.28,5.38,3.14
P0AFG8,99587.94042,5884,5275,4409,4794,8.33,3.68,9.07,1.24
P0A9Q7,96048.64958,10354,7637,7837,8009,14.63,5.56,10.67,3.89
P0CE47,43238.30279,180819,142247,112618,102131,5.53,1.56,3.3,2.74
P25665,84602.80905,27208,13268,8295,4243,3.61,4.33,3.17,2.59
P0A6F5,57274.67483,25954,23702,17811,16980,1.44,2.95,2.31,4.43
P00968,117749.3328,3000,1873,1409,1117,6.92,3.24,9.92,1.31
P09373,85284.7241,6684,6004,5454,4877,9.31,4.56,8.59,3.28
P0A6Y8,69054.47444,15492,13264,10501,9606,3.01,1.06,4.59,4.56
P05793,54016.26705,26857,17840,11583,6798,13.83,2.4,5.7,1.81
P0A705,79678.11829,3822,2910,2327,2029,8.03,4.29,8.6,3.12
P00864,98982.23464,4288,2871,2129,1673,12.88,1.91,8.28,3.04
P0A6M8,77514.47523,24574,19959,15430,12886,4.17,3.76,4.83,2.53
P00957,95954.64438,1726,1440,1193,1038,9.84,4.94,6.8,2.61
P00961,76746.96578,2680,2170,1696,1621,3.91,4.38,12.55,4.96
P76558,82346.78295,2829,3030,2860,2794,12.72,3.01,7.86,1
P0AG67,61102.7043,18244,12112,9970,8662,2.83,4.02,0.98,3.49
P07813,97153.28428,1622,1369,1191,1069,4.91,5.32,9.71,3.08
P00561,89045.79557,7938,3275,2045,1464,19.93,2.09,8.6,4.89
P0AFG3,104977.5259,3640,2817,2323,2149,13.05,3.37,8.2,1.86
P00956,104212.5396,1647,1363,1074,884,2.52,4.57,6.65,4.72
P25553,52221.71682,19056,31012,35721,36655,5.29,2.88,7.56,1.41
P06959,66036.77654,7066,6302,5144,5610,2.06,7.37,5.57,4.79
P23847,60237.23952,10138,12011,10693,9324,7.03,2.38,0.59,4.15
P07395,87305.38731,6350,5645,5764,5152,12.09,3,5.38,3.94
P21889,65853.62132,2331,1930,1517,1483,4.3,5.76,5.47,1.74
P07118,108105.6884,1298,970,749,650,4.97,1.22,5.14,1.18
P10408,101940.9335,935,836,757,750,8.83,5.1,12.38,2.36
P08200,45709.46787,30532,27433,22201,15274,1.06,4.26,2.69,1.34
P0ABB4,50275.81931,24035,19994,14634,10875,1.21,3.5,2.69,2.36
P0AES4,96885.40294,1157,848,734,636,12.5,8.74,6.96,7.94
P13029,79956.11435,3298,4104,4575,5007,2.82,4.72,5.02,3.54
P04825,98838.72264,1358,1366,1287,1036,1.55,1.72,3.46,0.86
P0A9G6,47473.57659,109529,184169,200923,218132,3.17,0.64,2.51,3.3
P0AD61,50679.24536,7111,5143,4493,5255,4.46,5.79,2.68,5.53
P09546,143707.3978,169,151,108,95,6.11,3.13,32.98,21.31
