,Unnamed: 0,pair_id,tm_score,identity_us_align,pro1,pro2,group
3141831,3141831,AF-P53183-F1-model_v3.pdb@@AF-P53111-F1-model_v3.pdb.txt,0.98986,0.763,P53183,P53111,pro_with_unknown_function
2425912,2425912,AF-Q03049-F1-model_v3.pdb@@AF-Q12068-F1-model_v3.pdb.txt,0.9772,0.591,Q03049,Q12068,pro_with_unknown_function
2255719,2255719,AF-Q03049-F1-model_v3.pdb@@AF-P53111-F1-model_v3.pdb.txt,0.975335,0.538,Q03049,P53111,pro_with_unknown_function
3184366,3184366,AF-P53183-F1-model_v3.pdb@@AF-Q12068-F1-model_v3.pdb.txt,0.968215,0.561,P53183,Q12068,pro_with_unknown_function
1863366,1863366,AF-P40579-F1-model_v3.pdb@@AF-P40580-F1-model_v3.pdb.txt,0.95966,0.528,P40579,P40580,pro_with_unknown_function
2705143,2705143,AF-P38690-F1-model_v3.pdb@@AF-P32264-F1-model_v3.pdb.txt,0.95512,0.679,P38690,P32264,pro_with_unknown_function
855083,855083,AF-Q05948-F1-model_v3.pdb@@AF-Q04925-F1-model_v3.pdb.txt,0.897085,0.522,Q05948,Q04925,pro_with_unknown_function
1494861,1494861,AF-Q3E7B4-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.89653,0.033,Q3E7B4,Q2V2P1,pro_with_unknown_function
2858622,2858622,AF-Q03263-F1-model_v3.pdb@@AF-P13090-F1-model_v3.pdb.txt,0.89412,0.622,Q03263,P13090,pro_with_unknown_function
3767215,3767215,AF-Q04516-F1-model_v3.pdb@@AF-Q12746-F1-model_v3.pdb.txt,0.89145,0.498,Q04516,Q12746,pro_with_unknown_function
500872,500872,AF-Q04835-F1-model_v3.pdb@@AF-Q08980-F1-model_v3.pdb.txt,0.888735,0.652,Q04835,Q08980,pro_with_unknown_function
3775234,3775234,AF-P0C5N1-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.8871100000000001,0.038,P0C5N1,Q2V2P1,pro_with_unknown_function
911916,911916,AF-Q03263-F1-model_v3.pdb@@AF-Q08902-F1-model_v3.pdb.txt,0.88456,0.379,Q03263,Q08902,pro_with_unknown_function
856068,856068,AF-Q12244-F1-model_v3.pdb@@AF-P25611-F1-model_v3.pdb.txt,0.883835,0.29,Q12244,P25611,pro_with_unknown_function
1019585,1019585,AF-P38716-F1-model_v3.pdb@@AF-P31373-F1-model_v3.pdb.txt,0.881005,0.288,P38716,P31373,pro_with_unknown_function
3235939,3235939,AF-P34231-F1-model_v3.pdb@@AF-Q06689-F1-model_v3.pdb.txt,0.87666,0.472,P34231,Q06689,pro_with_unknown_function
1659895,1659895,AF-P47137-F1-model_v3.pdb@@AF-P14065-F1-model_v3.pdb.txt,0.86279,0.362,P47137,P14065,pro_with_unknown_function
3182284,3182284,AF-P47137-F1-model_v3.pdb@@AF-Q12458-F1-model_v3.pdb.txt,0.862215,0.343,P47137,Q12458,pro_with_unknown_function
1054262,1054262,AF-Q3E762-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.86206,0.065,Q3E762,Q2V2P1,pro_with_unknown_function
314282,314282,AF-P47137-F1-model_v3.pdb@@AF-P38715-F1-model_v3.pdb.txt,0.85745,0.359,P47137,P38715,pro_with_unknown_function
1631266,1631266,AF-P0C5P6-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.85655,0.135,P0C5P6,P40975,pro_with_unknown_function
3247708,3247708,AF-Q06252-F1-model_v3.pdb@@AF-P14306-F1-model_v3.pdb.txt,0.852015,0.409,Q06252,P14306,pro_with_unknown_function
2540344,2540344,AF-Q3E7Z5-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.85162,0.032,Q3E7Z5,Q2V2P1,pro_with_unknown_function
2341889,2341889,AF-P0C5S1-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.84863,0.12,P0C5S1,P0CX86,pro_with_unknown_function
3332818,3332818,AF-Q12185-F1-model_v3.pdb@@AF-P38226-F1-model_v3.pdb.txt,0.8459,0.415,Q12185,P38226,pro_with_unknown_function
3442414,3442414,AF-P0C5S1-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.84575,0.12,P0C5S1,P0CX87,pro_with_unknown_function
2150654,2150654,AF-P0C5P6-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.839385,0.088,P0C5P6,Q99380,pro_with_unknown_function
282445,282445,AF-Q12496-F1-model_v3.pdb@@AF-P32898-F1-model_v3.pdb.txt,0.83908,0.158,Q12496,P32898,pro_with_unknown_function
256295,256295,AF-Q08234-F1-model_v3.pdb@@AF-P53756-F1-model_v3.pdb.txt,0.83891,0.211,Q08234,P53756,pro_with_unknown_function
909476,909476,AF-P38716-F1-model_v3.pdb@@AF-P06106-F1-model_v3.pdb.txt,0.838835,0.266,P38716,P06106,pro_with_unknown_function
2867608,2867608,AF-Q3E750-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.83852,0.1,Q3E750,P39103,pro_with_unknown_function
1859084,1859084,AF-Q08234-F1-model_v3.pdb@@AF-Q08409-F1-model_v3.pdb.txt,0.8366199999999999,0.198,Q08234,Q08409,pro_with_unknown_function
1549780,1549780,AF-Q03900-F1-model_v3.pdb@@AF-Q12259-F1-model_v3.pdb.txt,0.83473,0.446,Q03900,Q12259,pro_with_unknown_function
3489452,3489452,AF-Q08844-F1-model_v3.pdb@@AF-P39719-F1-model_v3.pdb.txt,0.83419,0.459,Q08844,P39719,pro_with_unknown_function
