,Unnamed: 0,pair_id,tm_score,identity_us_align,pro1,pro2,group
432,432,AF-Q12298-F1-model_v3.pdb@@AF-Q08972-F1-model_v3.pdb.txt,0.524195,0.152,Q12298,Q08972,pro_with_unknown_function
641,641,AF-Q06821-F1-model_v3.pdb@@AF-P19073-F1-model_v3.pdb.txt,0.56122,0.195,Q06821,P19073,pro_with_unknown_function
966,966,AF-Q3E809-F1-model_v3.pdb@@AF-P43682-F1-model_v3.pdb.txt,0.66533,0.038,Q3E809,P43682,pro_with_unknown_function
1008,1008,AF-Q3E778-F1-model_v3.pdb@@AF-Q08560-F1-model_v3.pdb.txt,0.577095,0.059,Q3E778,Q08560,pro_with_unknown_function
1140,1140,AF-A0A023PZF2-F1-model_v3.pdb@@AF-P61829-F1-model_v3.pdb.txt,0.521755,0.058,A0A023PZF2,P61829,pro_with_unknown_function
1144,1144,AF-P0C5S1-F1-model_v3.pdb@@AF-Q3E7B7-F1-model_v3.pdb.txt,0.636865,0.077,P0C5S1,Q3E7B7,pro_with_unknown_function
1265,1265,AF-P0C5N0-F1-model_v3.pdb@@AF-P38878-F1-model_v3.pdb.txt,0.5295449999999999,0.068,P0C5N0,P38878,pro_with_unknown_function
1342,1342,AF-Q8TGS5-F1-model_v3.pdb@@AF-P53289-F1-model_v3.pdb.txt,0.5094,0.086,Q8TGS5,P53289,pro_with_unknown_function
1960,1960,AF-Q8TGU8-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.72924,0.0,Q8TGU8,P0CX87,pro_with_unknown_function
2176,2176,AF-Q3E7A0-F1-model_v3.pdb@@AF-P53299-F1-model_v3.pdb.txt,0.54718,0.027,Q3E7A0,P53299,pro_with_unknown_function
2200,2200,AF-P0C5K9-F1-model_v3.pdb@@AF-P08525-F1-model_v3.pdb.txt,0.522,0.037,P0C5K9,P08525,pro_with_unknown_function
