!
!Date: 04/07/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
SPO7	YAL009W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP60	YAR002W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
UIP3	YAR027W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP170	YBL079W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ALG14	YBR070C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TBS1	YBR150C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NPL4	YBR170C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ASM4	YDL088C	located in	GO:0031965	nuclear membrane	cellular component		IEA with IPR017389	computational	InterPro	2024-03-12	DDB, et al. (2001)
ASM4	YDL088C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUR1	YDL089W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP84	YDL116W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUS1	YDL193W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
GLE1	YDL207W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP42	YDR192C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MSC2	YDR205W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SNF1	YDR477W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
KRE28	YDR532C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
GTT3	YEL017W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP157	YER105C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
GLE2	YER107C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SCS2	YER120W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
YCK3	YER123W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NIC96	YFR002W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MPS2	YGL075C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP145	YGL092W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SPC105	YGL093W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SEH1	YGL100W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP49	YGL172W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
BRR6	YGL247W	located in	GO:0031965	nuclear membrane	cellular component		IEA with IPR018767	computational	InterPro	2024-03-12	DDB, et al. (2001)
BRR6	YGL247W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NUP57	YGR119C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NEM1	YHR004C	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
BRL1	YHR036W	located in	GO:0031965	nuclear membrane	cellular component		IEA with IPR018767	computational	InterPro	2024-03-12	DDB, et al. (2001)
BRL1	YHR036W	located in	GO:0031965	nuclear membrane	cellular component		IEA with SL-0182	computational	UniProt	2024-03-12	UniProt-GOA (2012)
