Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
AF-P08372-F1-model_v2          11599.286         2477.358         9121.928            0.786  39183
AF-P0A7B3-F1-model_v2          36043.701        11137.225        24906.475            0.691  77873
AF-P0A7M6-F1-model_v2           7425.051         1852.318         5572.734            0.751  22082
AF-P0A7Y0-F1-model_v2          27453.454         7958.695        19494.758            0.710  63550
AF-P0A9I5-F1-model_v2           9706.997         2529.477         7177.520            0.739  29988
AF-P0AAA9-F1-model_v2          14260.698         2698.396        11562.301            0.811  52232
AF-P0AAK7-F1-model_v2          26218.497         7519.309        18699.188            0.713  115750
AF-P0AB18-F1-model_v2          13247.271         3721.112         9526.159            0.719  48893
AF-P0AB52-F1-model_v2          13922.577         4193.383         9729.193            0.699  29953
AF-P0AB96-F1-model_v2          17242.251         5127.937        12114.314            0.703  43589
AF-P0ACX0-F1-model_v2          12206.825         2551.862         9654.963            0.791  38116
AF-P0ADQ2-F1-model_v2          39143.979        10841.372        28302.607            0.723  164367
AF-P0AE34-F1-model_v2          27706.374         7402.187        20304.187            0.733  128826
AF-P0AEQ3-F1-model_v2          29272.702         8410.184        20862.518            0.713  70171
AF-P0AF50-F1-model_v2          14677.793         4353.429        10324.364            0.703  33142
AF-P0AGH3-F1-model_v2          38750.574        10834.071        27916.502            0.720  220702
AF-P0CF09-F1-model_v2           9783.050         2284.026         7499.024            0.767  35699
AF-P0CF68-F1-model_v2          10968.736         2146.751         8821.985            0.804  42976
AF-P0DPD0-F1-model_v2           3811.654          691.877         3119.777            0.818  14105
AF-P11864-F1-model_v2          46241.277        11715.690        34525.587            0.747  267918
AF-P16528-F1-model_v2          31292.952         8566.724        22726.227            0.726  95988
AF-P23481-F1-model_v2          23212.791         6414.217        16798.574            0.724  59014
AF-P23908-F1-model_v2          47019.183        14713.015        32306.168            0.687  99139
AF-P24232-F1-model_v2          47893.111        14398.172        33494.938            0.699  135590
AF-P25539-F1-model_v2          44096.873        13337.500        30759.372            0.698  149772
AF-P29012-F1-model_v2          43046.499        13394.461        29652.038            0.689  100412
AF-P32668-F1-model_v2          24370.830         6839.317        17531.513            0.719  55653
AF-P33915-F1-model_v2          41149.389        11781.572        29367.817            0.714  106049
